Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	12382801	12661231	13190838	13835878	13825020	15298503	14962800	18473882	21953891	29507737	
"China"	983920	1008205	1189786	1143746	1224863	1775045	1353995	2872223	2432636	5036302	
"Japan"	1504550	1515697	1526733	1413370	1587160	1805280	2129681	2423407	2969453	3770668	
"Canada"	1889875	1986611	1824182	1879731	1824506	1954694	1978211	2357077	3036382	3503111	
"Germany"	1690190	1647662	1492143	1503583	1532159	1806263	1782903	1935758	2235083	3048031	
"Korea, Republic of"	284314	250906	417317	370638	344595	437181	494646	912314	705038	2187828	
"United Kingdom"	775183	754058	798805	828007	992180	1086850	962871	1036152	1468782	1466931	
"Mexico"	436510	514983	487061	470865	486757	509389	571308	831065	787946	1174534	
"France"	737991	783830	658949	600769	641763	796150	738057	695703	878302	989991	
"India"	195761	239407	293911	293268	407194	410905	333942	318353	502071	865241	
"Indonesia"	359741	316242	314341	444866	250985	326628	287378	348854	557249	810480	
"Singapore"	280960	631494	866759	886222	549582	648251	706651	592742	761056	725719	
"Italy"	251606	270568	287864	287616	317166	402986	351259	390660	417292	612332	
"Sweden"	280692	235063	193718	169579	311497	417721	405365	482912	761331	461344	
"Netherlands"	241195	208946	215564	209096	225426	287611	274405	294222	385761	456767	
"Taipei, Chinese"	258343	270219	274935	246600	319911	343174	288865	332541	359860	440211	
"Spain"	150904	112189	130507	133219	127404	228623	258806	194928	359136	378883	
"Belgium"	185793	148899	201474	208133	230822	184574	209546	259004	205569	344810	
"Malaysia"	347819	445335	401554	357222	390042	376641	308535	293835	279981	343978	
"Lithuania"	11108	9500	18856	62502	60190	143678	129437	346094	445353	332578	
"Ireland"	114673	104347	108120	106781	174177	191482	139265	129923	161321	251260	
"South Africa"	70498	56941	58488	63614	84462	78254	90917	119626	643329	208648	
"Hong Kong, China"	5066	10380	5794	16475	23803	4045	6482	6081	54517	208110	
"Switzerland"	102158	113464	120726	108213	112098	122744	122717	118435	187211	166040	
"Poland"	24617	30572	35714	34559	56212	74511	77757	76779	113624	162727	
"Brazil"	61492	59943	49501	61271	53615	95290	106098	103330	99201	159575	
"Norway"	108640	99988	92010	108516	121443	144819	142669	168578	141331	141988	
"Israel"	63463	88438	92591	87960	82618	71451	78269	88957	97182	138399	
"Finland"	92145	133923	90574	88039	111684	100102	106477	102305	125473	131035	
"Thailand"	20942	31462	33927	24643	27759	29186	31905	29082	62276	126310	
"Denmark"	123845	123636	108902	73333	77753	68194	93326	84199	110618	123364	
"Austria"	41276	56892	56135	57082	50708	71048	59445	103514	114437	122376	
"Australia"	69612	56794	51768	38420	25479	34366	43233	51264	69934	78061	
"Sri Lanka"	31686	29349	25349	23852	27328	34213	33720	35415	45050	74203	
"Colombia"	26649	34569	28607	26139	30020	20850	33669	27741	37178	70353	
"Philippines"	16300	17896	23000	20536	18052	19114	20525	19276	25856	53670	
"Hungary"	7002	7245	7083	5603	8065	7758	7236	8687	9859	44851	
"Türkiye"	3393	9869	11067	13556	13411	14610	11020	44522	53571	42246	
"Czech Republic"	8182	11502	10413	11084	16278	21040	24386	29301	39035	41532	
"Viet Nam"	1330	1234	4422	5784	6640	8238	24994	25704	44409	28933	
"Chile"	13662	13217	14529	15758	21950	24462	25619	30067	27648	28463	
"Ukraine"	3118	3120	4057	3388	3574	2490	3377	8187	18503	25010	
"Estonia"	800	662	632	740	562	2465	10054	10246	14378	15215	
"Latvia"	32	23	183	383	509	646	569	497	826	13114	
"Argentina"	440159	150839	509527	1268600	777383	5542	7158	3878	12186	12515	
"Slovakia"	3324	3688	4193	6701	6147	6563	5757	5190	4916	8639	
"United Arab Emirates"	370	554	242	183	928	2443	2263	2746	2305	7542	
"Dominican Republic"	2486	4297	7882	11480	12507	11621	12828	13358	7114	6564	
"Costa Rica"	1120	1064	703	1061	7949	1129	1156	2974	6017	6309	
"Kuwait"	593	6447	33	3616	7749	19445	2128	17797	5029	5781	
"Portugal"	1377	1818	2882	4291	3498	4442	4358	2745	5477	5616	
"Bosnia and Herzegovina"	0	0	537	3138	2753	3148	3345	727	2340	4572	
"El Salvador"	739	318	233	278	2207	3281	2483	5255	3706	4551	
"Saudi Arabia"	2550	5556	2951	2687	2426	10409	10089	8316	2810	3655	
"Bulgaria"	580	1066	3234	2042	2500	2746	956	4673	4352	3527	
"Macedonia, North"	411	136	2904	4122	503	16901	10920	8492	8767	3517	
"Egypt"	196	55	344	155	3434	1941	1943	3033	5496	3394	
"Honduras"	3447	2539	3043	1216	2615	2746	6992	4895	1416	3236	
"Russian Federation"	5515	4609	5493	6545	2755	4471	4805	4629	4854	2921	
"New Zealand"	10193	4141	2816	1953	5309	2648	2794	2211	3286	2620	
"Romania"	869	1087	2263	1912	2970	3092	2903	6133	4245	2267	
"Slovenia"	253	193	435	573	677	3018	2115	1526	1242	2142	
"Morocco"	0	648	0	18	9	10	916	12	1147	2082	
"Luxembourg"	342	276	196	690	761	830	1116	11559	4229	1770	
"Peru"	4806	6315	1074	545	50	426	82	818	813	1406	
"Greece"	265	212	166	373	294	456	684	1372	4972	1286	
"Belarus"	2089	2189	1840	1859	2158	2813	3069	2976	3657	1265	
"Lebanon"	144	194	563	287	500	104	1340	540	527	925	
"Panama"	8509	78	230	205	467	33	75	458	512	681	
"Croatia"	7250	10491	30	21	20	20	3	134	591	678	
"Nigeria"	0	8	517	0	0	12	0	0	21	519	
