Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	1658728	1576773	957815	738456	838174	883458	846892	688913	817739	899840	
"China"	258287	281079	174281	128800	132791	155934	211710	159027	183128	293602	
"Germany"	241852	198918	98750	84417	87375	98781	96663	88492	100979	108101	
"United States of America"	199817	197602	139583	106689	122774	121271	83868	85176	89096	91270	
"Sweden"	48114	51626	32568	25578	46543	59858	54772	50636	47925	45260	
"Finland"	138368	128289	74138	53096	60344	70759	67122	45215	47811	44973	
"Italy"	67244	76481	55568	44360	44429	41184	33170	25045	39178	44768	
"Spain"	61536	57326	34983	31009	32041	30980	28264	22500	36585	34097	
"Colombia"	18094	27447	17861	15374	25601	25216	26161	23564	30831	33726	
"Chile"	33945	33912	23276	23981	26700	29796	26202	16864	21021	26322	
"Paraguay"	3986	5064	6724	5671	9194	13875	10906	10794	16311	20023	
"Austria"	48768	37591	24256	30847	41544	27586	22642	14931	15853	19225	
"Canada"	195982	187385	98167	55156	48865	60323	39199	13038	15089	18727	
"France"	52129	33466	22721	23922	24382	22372	19371	15492	19227	14564	
"Argentina"	54670	47318	29638	21058	30493	22172	19386	17413	23086	13970	
"Poland"	2535	2848	3094	2593	4049	6682	10086	11113	21352	10182	
"Japan"	20136	17252	14055	13769	14446	11983	10748	8446	11379	9840	
"Taipei, Chinese"	10109	13534	11016	8272	6536	5284	10747	11881	14445	9423	
"Netherlands"	7511	7079	3202	4094	5974	6347	6745	8626	9334	6999	
"Korea, Republic of"	28981	31242	13480	6050	5063	6016	7323	8429	7488	6040	
"Mexico"	12385	10264	6143	4224	6544	6007	7015	4594	6796	5981	
"Slovenia"	338	210	559	3184	7308	5358	1652	2040	4874	4796	
"United Kingdom"	25091	17953	9225	5156	9734	13287	8567	6681	4686	3940	
"Viet Nam"	4565	3104	1768	641	454	460	761	2743	2726	3839	
"Hong Kong, China"	4382	3662	2617	4784	4538	2122	1860	1598	2682	3462	
"Malaysia"	3088	3188	1904	1879	1454	2047	2301	2120	2435	3305	
"Belgium"	15549	10701	4399	2375	2478	2454	1849	1387	2678	3185	
"Switzerland"	23114	15608	15664	1916	3506	2835	3339	5340	3943	2718	
"Indonesia"	16074	19369	8406	1925	1647	1755	2781	2065	2511	2432	
"Hungary"	2690	922	609	2960	5516	2518	3488	3594	2527	2207	
"Portugal"	7189	10230	2147	4543	9371	11918	5990	2069	2077	1594	
"Uruguay"	12416	11409	4327	5371	916	867	707	675	841	1411	
"India"	1217	1847	1487	1358	1317	2284	2729	2260	5648	1372	
"Denmark"	685	491	442	596	512	716	655	1064	942	1171	
"Czech Republic"	4350	231	228	566	536	351	414	1503	864	1149	
"Türkiye"	1179	1697	1161	1413	1139	1232	1702	1579	571	835	
"Ireland"	204	17	6	6	68	1	290	442	628	738	
"Israel"	77	87	400	1211	1732	4395	8054	5280	9169	690	
"South Africa"	2027	2194	2275	1632	1091	1064	549	318	594	537	
"Norway"	10174	5831	4624	726	625	132	237	914	494	489	
"Singapore"	78	93	47	162	39	40	146	118	703	410	
"Russian Federation"	8405	7891	5514	4086	3820	2346	3899	1575	1444	392	
"Philippines"	130	191	293	233	593	484	378	325	381	376	
"Thailand"	814	614	518	252	516	490	407	318	218	285	
"Malta"	0	0	0	0	0	17	132	248	373	213	
"Dominican Republic"	15	182	43	311	101	117	148	74	117	175	
"Pakistan"	1	0	0	7	0	0	1	0	166	118	
"Peru"	131	45	53	33	38	43	21	46	52	110	
"Brazil"	415	3112	1259	301	499	25	293	14	178	104	
"Venezuela, Bolivarian Republic of"	0	0	65	60	268	324	133	120	27	99	
"Costa Rica"	3407	1512	48	113	150	103	89	106	145	90	
"Ukraine"	251	31	43	3	44	43	46	78	114	89	
"Bulgaria"	23	13	5	41	34	0	6	19	76	67	
"Albania"	0	0	0	8	53	29	16	47	74	53	
"Cuba"	0	0	0	0	0	0	0	17	88	39	
"Greece"	98	474	179	188	18	22	44	3	92	39	
"Luxembourg"	9	16	5	20	10	70	33	39	10	36	
"Tunisia"	2	3	1	2	2	0	0	0	1	35	
"Croatia"	0	0	1	0	251	0	139	113	8	22	
"Honduras"	1	771	50	0	0	0	4	24	1	22	
"Estonia"	0	0	0	0	0	0	1	4	178	16	
"Romania"	22	3	1	0	2	1	13	1	4	16	
"Serbia"	313	390	193	147	187	179	185	67	181	13	
"Australia"	5019	6028	3446	1110	1488	408	529	34	20	11	
"Belarus"	0	0	0	0	32	0	0	0		11	
"Lithuania"	17	17	118	85	83	115	94	1	36	10	
"Cambodia"	0	0	0	0	1	1	1	2	4	8	
"Lebanon"	67	7	28	14	10	0	0	1	8	6	
"Morocco"	0	0	0	0	14	11	15	28	12	5	
"Guatemala"	0	0	0	0	0	0	27	28	204	3	
"Sri Lanka"	0	0	0	0	0	1	0	0	8	2	
"Latvia"	0	0	0	0	0	0	0	0		2	
