Exporters	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"World"	1726562	1771323	1778410	1864099	1578873	1522171	1655357	1629459	1480523	1602208	
"China"	183432	219678	243691	289617	292675	224894	275951	299407	298032	311049	
"United Arab Emirates"	78122	91578	119853	131801	128329	134717	192193	228027	234977	258824	
"India"	30636	29902	29820	31284	23281	25664	56696	32030	31719	126860	
"Indonesia"	124243	123833	146763	157632	93502	108207	133782	111212	90871	79935	
"Finland"	94400	89786	78126	85521	56698	74900	81318	79837	60106	78099	
"United States of America"	165265	167812	145493	156167	133009	108549	115130	111123	79551	77092	
"Sweden"	158715	148296	144187	112893	87148	88413	90314	66328	74234	75137	
"Spain"	96774	103633	96281	81511	70162	69193	73184	53596	44135	61937	
"Kuwait"	25286	29893	33556	36777	34327	30886	39571	41628	34167	56942	
"Germany"	116765	134577	99883	100432	105747	84369	61328	66690	66776	54725	
"Jordan"	57812	54535	58655	65327	76212	74119	50448	54336	49325	52894	
"Egypt"	35799	38098	39232	49394	46390	45815	51686	45335	40207	51185	
"Italy"	42297	47968	48468	44606	40526	48999	46160	41314	35130	43837	
"France"	28095	21094	25520	26064	19986	23877	24916	32453	36948	32884	
"Bahrain"	77153	85088	84709	72788	68357	65041	38335	37790	35657	32064	
"Brazil"	18226	19024	18405	17717	13732	32554	28284	48337	29314	26317	
"Korea, Republic of"	41109	34594	47779	57870	39724	37019	32675	34320	27989	22742	
"Russian Federation"	15857	14224	12456	16981	10522	10489	30835	21010	25050	20361	
"Thailand"	43677	29892	49885	58051	25931	20383	17661	13855	9589	13774	
"Poland"	10868	15285	17156	16111	17058	16957	13670	11993	8731	10998	
"New Zealand"	1320	320	239	347	974	6789	22939	28609	23867	9315	
"United Kingdom"	12340	17072	17267	13517	15140	8421	11385	11036	7024	8453	
"Malaysia"	6714	6729	8668	10245	7937	8815	9643	9884	9310	7956	
"Austria"	35131	43000	35955	33371	19284	13372	14146	14561	11485	7895	
"Japan"	6244	8227	8742	13346	10194	10771	17606	8829	5667	7366	
"Oman"	3714	5050	4098	4537	3825	4478	4585	4399	4881	6569	
"Lebanon"	17918	16344	14765	17499	10350	9699	10213	11257	8286	6386	
"Netherlands"	18464	11808	16055	9815	5356	4653	6780	9028	9922	5853	
"Taipei, Chinese"	6839	7770	17712	14503	7373	7033	8244	7315	6573	4479	
"Hungary"	15801	9893	7196	9193	5078	5171	944	9952	8362	3727	
"Luxembourg"	4145	4833	5637	4347	3633	1566	1809	2545	2811	3240	
"Pakistan"	0	0	0	37	2418	702	123	306	2127	3151	
"Australia"	5151	9757	7024	4299	1123	6709	4894	5054	8891	3042	
"Canada"	49875	44167	29990	21770	10362	3882	10288	9297	5504	3000	
"Slovakia"	1210	1575	3782	3370	2147	657	1221	1368	595	2568	
"Denmark"	700	1229	2298	4118	2823	1227	1813	1319	1900	2544	
"Slovenia"	2431	5090	1899	1883	2282	2375	1404	8139	2485	2525	
"Ukraine"	0	34	0	1906	3375	4245	3475	1033	1190	2340	
"Belgium"	7990	7421	3820	6345	4948	4036	3027	2910	2972	2177	
"Czech Republic"	10508	8874	4795	1558	3432	2003	2676	2383	2306	2132	
"Chile"	0	51	0	282	888	1161	852	1691	2826	2127	
"Portugal"	27979	17515	10296	14184	5541	11910	15459	6866	3013	2024	
"Viet Nam"	588	1854	2661	2530	959	5932	2990	1804	1526	1799	
"South Africa"	2031	1000	619	523	453	61	148	191	4773	1798	
"Syrian Arab Republic"	5115	197	0	0	72	0	120	170	649	1523	
"Bosnia and Herzegovina"	746	834	0	0	0	286	1679	283	722	1380	
"Lao People's Democratic Republic"	0	0	0	0	0	0	0	0	0	1272	
"Singapore"	1759	562	467	1120	39	226	925	322	503	844	
"Area Nes"	0	0	0	17358	21465	24915	0	1033	0	838	
"Ireland"	211	59	30	30	54	0	265	950	754	606	
"Mexico"	1566	1222	1408	972	1075	776	1008	1340	1033	606	
"Türkiye"	13843	16078	15305	26210	29664	34936	27460	22525	12227	552	
"Norway"	8555	11355	5555	281	361	913	4533	1222	2089	547	
"Greece"	1806	67	283	571	932	830	1025	643	1039	486	
"Hong Kong, China"	0	50	0	94	0	0	122	56	260	445	
"Argentina"	0	158	0	0	0	328	360	3274	0	425	
"Estonia"	1642	717	233	88	954	770	943	261	230	372	
"Tunisia"	0	0	0	0	0	389	867	978	188	268	
"Sri Lanka"	457	795	620	584	701	337	303	420	1038	265	
"Switzerland"	1435	4158	4151	4378	2310	1817	1587	2565	2102	215	
"Aruba"	212	0	0	0	0	0	3	0	0	179	
"Palestine, State of"	0	0	0	0	0	0	0	0	229	178	
"Philippines"	549	30	352	179	59	0	176	141	65	172	
"Bangladesh"	0	0	0	0	0	0	428	109	8	105	
"Bulgaria"	934	553	96	514	90	123	87	176	56	100	
"Romania"	46	0	0	31	0	0	455	302	731	89	
