Exporters	Imported value in 2002	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"World"	410469	587698	706343	873751	1134690	1242515	1847389	1368624	1887452	2454712	2266893	2376762	2610041	2425519	2662457	3069062	2994533	2886573	1853053	2150984	
"China"	6499	6846	13818	40255	119368	201409	270111	198192	210161	347643	292521	323191	382570	340168	387541	537898	499710	504183	317027	454679	
"United States of America"	27214	32510	41324	53337	45618	66902	132558	97052	216402	345200	312022	319505	268005	230655	235018	245022	246780	247239	182183	205405	
"Germany"	37760	60636	73785	68414	107265	103565	146691	102589	127937	189684	126884	138019	169452	105875	119515	151281	145270	129013	106651	144171	
"Russian Federation"	63981	66402	86764	97063	107420	66294	140714	92729	138195	147495	159453	130897	166985	179457	226382	280613	258455	273292	164729	123930	
"Korea, Republic of"	15124	15899	30085	57690	105545	85256	182650	123347	160075	182374	161408	176643	258009	252071	305965	263106	302439	214933	119893	120988	
"Canada"	47590	103518	116526	132830	141778	121104	158838	48873	187550	210089	135058	225734	196209	173669	175648	168124	191744	159529	102410	111367	
"Sweden"	15961	35691	55057	53128	68969	83450	90119	76705	107629	122892	147406	140680	134717	122769	131012	122131	88174	80192	73195	96391	
"Japan"	6330	9719	11355	14923	15428	22269	38221	29173	38791	50241	50710	25963	29534	31660	39430	57285	121052	119427	70061	81790	
"Indonesia"	20186	16469	24823	32466	41724	50319	69038	47538	52951	71511	60024	80140	121140	125442	153640	249162	171704	213910	82868	79972	
"Finland"	24255	61731	57540	56634	70912	71778	81595	58530	81205	110623	111901	105840	108816	100861	86270	130788	115244	97899	69681	74492	
"Italy"	4457	4630	7238	12829	25738	41377	50849	57861	48550	72615	56986	82206	136690	112333	126669	104819	56673	53364	50102	73173	
"Thailand"	3276	1689	2121	9780	10954	18020	15783	8111	11306	20834	14028	13063	17708	25347	36636	55532	66543	63744	44325	69442	
"Belgium"	2381	4022	7087	6519	6708	7633	11212	7334	28507	28332	36611	31053	35764	38035	36069	43070	73672	50837	40870	52993	
"Spain"	2413	3516	5583	6430	8015	10660	17571	7624	15080	15990	31943	33187	36129	56178	65292	81306	62641	64289	39543	48418	
"Taipei, Chinese"	1768	2036	2131	3218	3992	6100	8496	9484	17346	26296	28563	23929	28993	29326	36124	48028	47091	55594	38517	46292	
"Netherlands"	14269	9745	11606	15025	34182	18046	31123	28773	20699	35967	38287	47920	80443	67049	23497	20726	32979	37279	34404	42826	
"Hong Kong, China"	10731	12646	13875	21061	24517	25724	29077	26827	33619	38511	48918	27648	26736	26764	27795	25597	80927	72780	32110	40763	
"Singapore"	10940	4553	7340	6975	4960	12875	18411	11657	12847	20232	11880	14904	9405	4157	15075	26871	71655	94067	45164	35296	
"United Kingdom"	8287	44598	31430	74754	63577	66822	111219	113338	106060	42252	63236	54394	43200	39444	34884	32034	36615	29233	22196	27655	
