Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	21335562	21167203	18225686	16859864	21492507	22377160	23409735	36901161	43569039	43662135	
"Indonesia"	4957	26900	297075	938438	2111271	2929454	3165936	7420706	13123016	19530422	
"Japan"	8082517	7681224	5970307	5138315	5976429	5700462	4713355	4636895	5896297	5499196	
"Korea, Republic of"	3981342	4313877	3391356	3353193	3660785	3538248	3281751	3781072	3592728	3586148	
"Russian Federation"	100887	24919	23413	27950	96706	22424	523799	2176274	1227847	1897801	
"Brazil"	588454	618456	642887	539100	665679	908671	1325898	2246192	1552834	1645270	
"South Africa"	1022651	1312123	1730037	1379526	1618987	1387053	1527042	1295595	1425035	1370664	
"Taipei, Chinese"	1881111	1841932	1387836	1223913	1468229	1418308	1163858	1506058	1571392	1081628	
"Kazakhstan"	719598	411596	467903	721662	818637	927713	905990	1146108	1038471	1008165	
"New Caledonia"	68179	272794	315734	257699	390782	695646	647421	604156	477977	984949	
"Germany"	835061	1036258	765066	738802	978340	1171682	932917	923787	1063510	822490	
"Sweden"	448067	450207	469292	379510	470195	521580	488989	465839	617704	639014	
"Oman"	17297	23351	52417	27231	60646	35496	138287	290153	989153	540084	
"India"	336973	206686	162951	173191	474490	305812	576526	2529992	1529734	532468	
"Malaysia"	70287	73598	44853	45375	50210	137946	461585	1328056	1746728	522203	
"Colombia"	348221	248194	241458	131743	235451	348716	447571	343562	281411	423755	
"United States of America"	727990	344951	285364	225181	368964	422194	276739	414792	304243	364249	
"Zimbabwe"	45354	107768	71946	46156	118534	103631	122310	86556	168110	329471	
"Iran, Islamic Republic of"	8011	8	73	4	3472	147	104756	668917	894824	285352	
"Guatemala"	0	0	55304	48311	7385	49	127415	194814	248310	271392	
"Dominican Republic"	85687	1374	0	11349	16470	18990	225589	177152	175440	250844	
"Myanmar"	12526	294807	250788	124668	329376	286716	195412	308739	357571	229003	
"United Arab Emirates"	6915	1734	5617	12851	10202	21406	129344	216821	490990	196039	
"Austria"	49274	84793	80794	108097	161367	218551	194108	159041	213624	172527	
"France"	254726	350552	269032	252771	266634	220561	189355	151334	175625	170031	
"Ukraine"	891	299	31450	14130	2216	5039	117470	702553	465267	157040	
"Viet Nam"	23174	12891	7808	9541	25121	21367	166969	1438501	1872353	125818	
"Finland"	177129	131811	66884	61627	109576	122710	128125	89803	74607	107506	
"Italy"	107477	124037	117008	90036	114142	121027	118454	94046	112036	107480	
"United Kingdom"	90922	100230	72168	46899	60655	63489	57964	72891	64729	103219	
"China"	267719	265634	199834	160876	150292	141331	123911	99143	115573	88244	
"Belgium"	196799	178628	169662	138838	153358	175829	143479	102589	84457	72452	
"Canada"	55800	48606	50290	55068	84586	78077	85185	115369	96790	57300	
"Macedonia, North"	95010	74998	119166	27434	49051	5983	82960	114217	227491	49766	
"Thailand"	27849	26517	19846	17678	16058	17924	18865	45799	278586	46951	
"Mozambique"	8029	4401	5459	12774	3661	0	10	765	29114	37167	
"Congo, Democratic Republic of the"	275	0	0	0	0	0	0	8910	74045	31594	
"Saudi Arabia"	3007	5615	1041	2426	822	989	12054	94062	31433	30085	
"Bahrain"	2466	0	13	19	342	148	153	299	46255	29785	
"Venezuela, Bolivarian Republic of"	26396	23051	12579	0	0	0	70010	272144	136120	28118	
"Korea, Democratic People's Republic of"	95004	89482	52996	43184	59346	31891	33775	11447	26816	27741	
"Switzerland"	14455	17967	16151	15765	22224	20885	16376	18063	23732	25167	
"Singapore"	32315	32236	23918	25334	27082	26588	23095	33970	19236	23435	
"Czech Republic"	16035	10095	8148	6459	7484	7454	11922	28598	24461	20305	
"Netherlands"	31854	27831	25473	34045	17030	21617	26887	69533	22662	19155	
"Türkiye"	25948	9609	33555	17622	45717	9432	18257	70900	134292	16857	
"Philippines"	1207	763	734	887	3133	5560	9115	4180	6560	16702	
"Norway"	21259	20523	17549	17657	15982	16461	12136	15377	15731	15724	
"Slovenia"	7030	7114	5747	11751	13609	12807	12553	12743	15529	13059	
"Spain"	35812	47601	32467	31676	34326	15086	9880	10202	13090	8290	
"Denmark"	3636	5236	6234	7594	6503	7301	5086	4918	5689	5394	
"Luxembourg"	43393	36702	54313	52827	30012	23245	9250	4138	5633	5093	
"Albania"	2132	341	603	1085	3710	0	1146	2266	39993	4916	
"Mexico"	11907	5407	3177	3717	2749	2479	2032	134403	13529	4745	
"Romania"	3837	6377	8133	5047	5806	7061	4595	3806	6052	4649	
"Hong Kong, China"	89885	32937	12876	9128	19346	12080	23941	5805	13953	3890	
"Belarus"	1884	2018	1486	1642	841	1809	2575	1994	2572	3265	
"Ireland"	175	170	463	848	555	969	2268	1218	2253	3041	
"Bhutan"	0	0	0	123	160	0	0	0		2825	
"Australia"	85248	19264	17607	13906	18460	28576	14313	25377	2242	2738	
"Qatar"	0	6069	2	0	283	3436	143436	4209	79360	2708	
"Ecuador"	0	5	0	0	0	0	8	7	69	1230	
"Poland"	12184	8527	10112	5299	5492	9042	5039	2067	5819	1044	
"Portugal"	330	210	841	1018	530	602	525	535	341	1006	
"Slovakia"	1461	4563	2309	1563	1641	2508	1108	938	450	777	
"Chile"	2509	204	3176	52	1	73	1908	785	6	699	
"Hungary"	72	128	42	242	234	246	236	254	537	683	
"Trinidad and Tobago"	3377	4225	3143	0	0	0	407	25116		330	
"Israel"	591	1384	1578	265	66	102	233	220	47	232	
"Pakistan"	7	1773	43	3	36	134	553	69	132	163	
"Costa Rica"	0	0	9	62	20	269	366	508	311	144	
"Nigeria"	0	4	1	0	0	0	0	0	1	106	
"Area Nes"	121	19507	4939	159	135	272	359	248	126	48	
"Panama"	2802	2928	4291	1287	1469	1338	2308	0		37	
"Paraguay"	0	0	3	3	0	0	0	0		37	
"Egypt"	2603	233	932	10	875	1406	2526	103	82	33	
"Lebanon"	109	0	0	0	1	0	0	0	0	32	
"Tanzania, United Republic of"	2	1	0	0	0	0	0	0		24	
"Brunei Darussalam"	0	0	0	0	0	3	0	0		23	
"Serbia"	0	1346	14026	2843	11409	0	0	21144	21677	17	
"Argentina"	29	786	721	22	129	43	43	161	600	14	
"Bulgaria"	1550	631	212	47	42	109	63	2	7	11	
"Uzbekistan"	0	0	0	0	0	0	0	99	253	10	
"Gibraltar"	0	0	236	0	0	0	0	0		9	
"Sri Lanka"	0	4	14	2	3	14	1	22	15	7	
"New Zealand"	771	1068	310	177	855	263	34	30	312	7	
"Papua New Guinea"	1592	2945	6	4	0	0	0	0	13	7	
"Sierra Leone"	0	0	0	0	0	17	2	0		7	
"Algeria"	2	2	0	0	0	0	0	4002	58728	4	
"Croatia"	2	80	222	22	84	20	3	0	2	2	
"Greece"	42	30	1905	1786	12	6875	12134	10073	2822	2	
"Latvia"	117	53	45	42	1066	9	274	341	39	1	
"Lithuania"	1	1	2	77	4	11	8	2	1	1	
"Morocco"	0	0	51	0	281	50	99	879		1	
"Peru"	0	1	62	1	4	1	0	17810		1	
"Bangladesh"	1	0	1	0	2	1	1	12172	64922	0	
"Kuwait"	0	0	0	138	0	56	35	371	58249	0	
"Marshall Islands"	51	6	16	218	145	25	350	0			
"Somalia"	0	0	0	0	0	0	86	0			
"Turkmenistan"	0	2	0	0	0	0	0	0			
"Afghanistan"	6	6	0	2	0	0	0	0			
"Angola"	0	0	1	0	0	0	0	0			
"Antigua and Barbuda"	0	0	0	0	0	0	0	0			
"Bahamas"	19	0	0	5	66	104	863	0			
"Armenia"	0	0	0	0	0	0	0	521			
"Barbados"	0	0	0	0	0	1	0	0			
"Bolivia, Plurinational State of"	0	0	0	0	0	8	0	0			
"Bosnia and Herzegovina"	0	0	0	0	82	0	0	0			
"Botswana"	0	0	0	0	0	0	0	5			
"Belize"	0	0	0	0	9	35	0	0			
"Cambodia"	0	0	0	0	2	40	0	13	8181		
"Congo"	0	0	0	0	0	622	269	0			
"Cyprus"	0	0	0	0	14	0	0	0			
"Dominica"	0	0	0	542	554	0	0	0			
"El Salvador"	0	0	4	0	0	0	0	0			
"Ethiopia"	0	0	0	0	0	4	2	0			
"Estonia"	0	2	19	0	2	588	4510	1610	8		
"Fiji"	0	0	0	0	0	0	0	0	1		
"Georgia"	2	5	0	3	0	0	0	1	63		
"Kiribati"	0	0	0	0	10	0	0	0			
"Guinea"	0	0	0	1	1	0	0	0			
"Guyana"	81	0	0	0	0	0	0	0			
"Honduras"	0	5	0	0	0	0	0	0			
"Iraq"	0	0	0	0	0	0	0	7016			
"Jordan"	0	0	0	0	4	0	12	0			
"Kenya"	0	0	0	0	0	1	0	0	0		
"Kyrgyzstan"	281	0	0	0	0	0	0	0	1		
"Liberia"	1	0	0	315	636	353	552	0			
"Libya, State of"	0	10500	0	0	0	0	0	7121			
"Macao, China"	1369	0	75	0	0	0	0	1	13		
"Madagascar"	0	0	0	0	0	0	0	0	54		
"Malta"	0	0	0	763	131	30	0	0			
"Mauritania"	0	0	0	0	0	0	0	0			
"Mauritius"	0	0	0	0	0	0	0	0			
"Mongolia"	20	1	1	0	646	983	509	0	219		
"Moldova, Republic of"	0	0	0	0	0	0	0	0	1		
"Montenegro"	0	0	0	25	7	0	0	0			
"Namibia"	0	0	0	0	0	3	0	0			
"Vanuatu"	1	0	0	0	0	0	0	0			
"Palau"	0	0	0	0	0	6	0	0			
"Saint Kitts and Nevis"	0	0	0	0	0	0	68	0			
"Saint Vincent and the Grenadines"	0	0	0	0	1	0	0	0			
"Senegal"	0	0	0	0	0	0	0	0	0		
"Sudan"	0	0	0	0	0	0	0	64			
"Tunisia"	144	0	0	0	1	0	0	0	126		
"Tuvalu"	0	0	0	0	6	7	0	0			
"Uganda"	0	0	0	1	0	0	0	0			
"Uruguay"	0	0	0	11	37	52	39	0			
"Zambia"	1268	3477	0	177	2284	724	0	0	1		
