Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	37236071	33118730	24813441	21124300	17404143	19096839	21297173	23600901	29347172	33891762	
"China"	8640166	7605747	5230087	4012547	4210438	4680649	4972662	5410410	8018182	8870167	
"United States of America"	7244009	6953507	5881974	5227255	3024924	2916586	3656881	6231223	6365727	8259148	
"Germany"	3983574	3594115	2600583	2289671	2140542	2445892	2366744	2166540	2698626	2737561	
"Italy"	2644825	2341384	1677831	1272222	1169210	1283627	1148081	1293312	1805975	1650363	
"France"	1201417	941477	672677	627354	415343	452112	439225	1012215	1098253	1334247	
"Japan"	2247701	1840331	1401041	938047	936625	1107891	942453	926020	1136545	1288731	
"Korea, Republic of"	1289567	1054085	706705	1522844	549171	600171	665421	482778	724446	866315	
"Mexico"	455517	486748	428846	408293	483383	553600	478825	639582	561542	816573	
"India"	341257	294483	238463	168096	246559	253536	242790	325651	497631	656393	
"Argentina"	747315	690242	417500	394302	414943	373934	365550	418817	540684	644340	
"United Kingdom"	683081	621900	383152	352641	255250	275649	359144	476380	550970	591973	
"Sweden"	694308	576567	417885	291261	324917	270574	243508	315993	446078	565321	
"Spain"	678754	508178	541536	370716	329308	337001	287814	284433	399125	495226	
"Finland"	287864	197935	171815	278375	215902	115082	118521	192025	235298	457575	
"Thailand"	535211	551171	362595	302097	389808	390641	386610	436331	479784	449417	
"Austria"	437684	344181	196528	380411	217621	211777	192532	183005	252678	378697	
"Taipei, Chinese"	462957	394097	251515	167187	197530	223733	220105	229178	280367	369490	
"Canada"	426097	336578	304297	234316	138983	170379	155206	257111	301635	357223	
"Türkiye"	83357	84341	57200	43017	42281	53701	53972	159303	234494	278261	
"Netherlands"	296489	330698	189310	170078	162067	226696	228949	193367	291782	277794	
"Switzerland"	616276	440398	329017	125799	160101	190758	473365	193213	291885	244570	
"Viet Nam"	109428	151426	234584	98024	115427	150086	131873	139192	178959	211595	
"Poland"	132693	113873	93759	77534	68671	73773	74452	123294	146524	194754	
"Czech Republic"	198078	157758	121517	94746	111602	133419	132443	127681	173206	184277	
"Belgium"	258199	149987	100145	95880	69287	78343	146807	131393	152130	182818	
"Malaysia"	402637	577014	521208	269645	199664	249216	182825	155702	160022	168826	
"Singapore"	172255	137190	97318	51606	40964	39521	46542	73260	92193	117426	
"Indonesia"	83447	97577	63411	65839	87622	88576	110071	78149	90430	114472	
"Denmark"	164693	160765	125018	98842	93304	93218	107188	196663	154822	114065	
"Philippines"	107816	83888	60528	56169	80772	86627	85583	101121	107611	96237	
"Hong Kong, China"	111934	108011	64026	44894	46557	59431	53872	54334	90727	95996	
"Hungary"	199853	148354	78566	62709	70549	88445	81601	63165	82584	95659	
"South Africa"	22099	16163	9954	8197	10723	9116	14398	13954	30474	91050	
"Romania"	89402	82295	62190	61077	30932	23397	39586	39409	63462	77293	
"Israel"	68462	69288	51061	37647	41215	47706	49093	56185	56867	66831	
"Slovakia"	53001	44058	38387	27024	26832	38904	34310	41345	58810	63996	
"Norway"	151454	147840	103349	86020	54975	28855	30589	40888	59325	60869	
"Ireland"	86353	71803	47830	38395	38890	62319	46165	53574	36990	54459	
"Portugal"	115942	133821	52769	34876	34475	43711	33107	49827	58147	44607	
"Australia"	39739	26267	23807	16320	9581	17767	11172	14275	41286	26393	
"Russian Federation"	2818	2969	19130	3306	2617	1063	2017	12581	15713	25985	
