Exporters	Imported value in 2002	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"World"	4348003	6284532	8297680	11062924	14054980	18511763	22453763	24517614	25547227	32261003	29649046	29790256	31923374	35948213	37003361	46825344	52622009	50846329	42944414	56725008	
"China"	591737	999425	1663133	2476623	3766614	7025673	8477315	10503967	11274108	13240759	13114008	14444086	15977001	19364565	20870118	27508737	23317673	19966001	17842378	26391476	
"Hong Kong, China"	105533	150596	217753	319013	450639	493003	590057	763536	633086	654433	520187	565287	640601	979190	1001192	1267949	7172578	8802301	7155217	8561232	
"Viet Nam"	3700	6643	7561	6632	14959	19953	36631	135676	353095	527629	749146	1466813	1095253	980470	895434	1215518	3564816	4042073	3087424	3072432	
"Singapore"	287047	399888	483197	630484	924666	905462	1066326	1470410	1060896	1285197	1134212	1030395	878946	1096503	1112621	1188795	2693272	2913283	2487530	2962738	
"Korea, Republic of"	288790	1081942	1137999	1699485	1414998	859302	1597607	1299533	1722587	1837495	1433422	1827801	2381028	2741169	2442039	3254739	2679463	2927820	2300190	2833492	
"United States of America"	727828	887638	947007	1145502	1252106	1481214	1434425	1244465	1250349	1714310	1733132	1400389	1633499	1570524	1713041	1646312	1805898	2208289	1552534	1711124	
"Germany"	415341	393299	623943	806551	962758	1274525	1587193	1418977	1431921	1999538	1783938	1395773	1432559	1264638	1268186	1466910	1733929	1605163	1193225	1510038	
"Taipei, Chinese"	142403	192528	248544	274236	222325	332005	526504	558948	649279	1087733	838880	770325	805607	658145	602944	752325	926852	740440	1124303	1441375	
"Japan"	227118	308675	351135	461806	535518	701267	913103	1143597	1037535	1367554	1343061	1155698	953214	1014657	1173425	1266098	1406234	1408513	985802	1337908	
"Malaysia"	138599	185643	320846	281694	329655	457417	486901	496835	842116	1153912	1256961	1126158	1192820	1219631	1322405	1577157	1086208	834873	703609	879093	
"Thailand"	47547	62124	118924	224810	287826	310760	298031	379243	376637	508767	528506	524568	676783	709546	736327	923694	937718	906653	548042	769055	
"Israel"	116607	143949	166398	143229	199445	286212	395132	363541	230275	246582	185089	238340	308762	389868	212450	257477	334573	336081	579846	651726	
"France"	120007	127764	244119	342191	344284	397678	428414	437946	586978	585381	497544	347975	400745	324393	347131	398208	619492	704591	575725	637778	
