Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Brazil's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Brazil (%)	
"World"	192992	-131591	100	-2	60		100	8				
"United States of America"	77778	-53328	40.3	-2	15	3	7	-2	4215	0.24	13.4	
"China"	36313	-34666	18.8	-8	98	1	37	19	5739	0.11	13.4	
"Austria"	26465	-26465	13.7	50	411	7	3.6	11	2066	0.18	13.4	
"Switzerland"	12912	-12896	6.7	-12	1985	12	2	11	1406	0.1	13.4	
"Korea, Republic of"	11376	-11114	5.9	50	111	9	2.7	49	5745	0.12	13.4	
"Germany"	4566	-4051	2.4	1	69	4	5.9	-8	2280	0.06	13.4	
"India"	3704	-3443	1.9	4	24	19	0.8	-9	8791	0.19	13.2	
"Italy"	2451	-2312	1.3	-18	-12	10	2.2	-4	2624	0.09	13.4	
"France"	2190	-792	1.1	-8	185	13	1.9	-5	2653	0.11	13.4	
"Argentina"	2093	1915	1.1	32	99						0	
"Australia"	1650	-1256	0.9	75	1470	40	0.2	7	8191	0.2	13.4	
"Spain"	1558	-1276	0.8	-11	-28	8	2.9	-7	2930	0.05	13.4	
"Luxembourg"	1491	-1491	0.8	22		54	0.03	2	520	0.35	13.4	
"Mexico"	1258	-1127	0.7	-11	-44	2	8.3	2	1643	0.97	10.7	
"South Africa"	1143	2520	0.6	-5	-70	29	0.4	-3	8140	0.17	13.4	
"Hungary"	966	-965	0.5	-7	266	18	0.9	5	1505	0.18	13.4	
"Poland"	736	-95	0.4	105	-22	6	3.7	8	1136	0.12	13.4	
"Bulgaria"	542	-542	0.3	0	22	30	0.4	8	1337	0.45	13.4	
"Türkiye"	505	-485	0.3	60	358	24	0.6	36	2024	0.11	13.4	
"Canada"	485	-292	0.3	7	-29	21	0.7	14	3812	0.62	13.4	
"Indonesia"	355	-175	0.2	134	750	48	0.05	-9	8602	0.18	13.3	
"Romania"	322	-322	0.2	185	38	27	0.4	6	1378	0.13	13.4	
"Hong Kong, China"	320	-317	0.2	96	-34	39	0.2	25	2346	0.45	13.4	
"Japan"	285	-285	0.1	-10	69	14	1.6	-16	3901	0.28	13.4	
"Czech Republic"	241	-241	0.1	-17	-37	11	2	4	1333	0.09	13.4	
"Viet Nam"	175	-174	0.1	78		32	0.3	96	3627	0.46	13.3	
"Paraguay"	170	176	0.1		-8	114	0	-5	1697	0.7	0	
"Taipei, Chinese"	129	-128	0.1	73	397	49	0.03	-10	5860	0.15	13.4	
"Netherlands"	127	309	0.1	-10	41	20	0.8	12	1246	0.18	13.4	
"Sweden"	124	-124	0.1	-20	-51	28	0.4	-4	2589	0.14	13.4	
"Bahrain"	85	-85	0			56	0.02	-10	4634	0.25	13	
"Brazil"	77	-77	0	64	-56	41	0.1	-16	7208	0.19		
"Slovenia"	71	-71	0		63	35	0.3	10	722	0.12	13.4	
"Finland"	70	-70	0		32	43	0.1	15	2349	0.09	13.4	
"Uruguay"	64	535	0			110	0	14	1098	0.5	0	
"United Kingdom"	56	783	0	-67	-31	16	1	9	3605	0.09	13.4	
"Denmark"	54	-54	0	-32	-43	44	0.1	1	1829	0.08	13.4	
"Tajikistan"	25	-25	0			132	0	233	5041	0.54	13.4	
"British Virgin Islands"	14	-14	0			69	0	-7	11057	0.97	12.4	
"Thailand"	8	1177	0	59		36	0.2	1	3470	0.22	13.3	
"Belgium"	7	501	0	11	-81	26	0.5	6	2371	0.09	13.4	
"Singapore"	6	12	0	71	-80	37	0.2	0	6196	0.11	13.3	
"Philippines"	5	-5	0	621		63	0.01	15	7679	0.14	13.3	
"Portugal"	3	14	0	-44	-91	62	0.01	-2	4983	0.19	13.4	
"Malaysia"	3	-2	0	-25		33	0.3	5	5445	0.37	13.3	
"Macedonia, North"	3	-3	0			47	0.05	12	2519	0.15	13.4	
"Tunisia"	2	34	0			105	0	13	1356	0.72	13	
"Israel"	2	-2	0	19		50	0.03	3	4150	0.09	0	
"Latvia"	2	-2	0			55	0.02	-18	707	0.13	13.4	
"Senegal"	2	-2	0			88	0	10	1382	0.35	12.5	
