Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	3114609	2849711	2642458	2699230	3072600	3189205	3644995	3501848	3423288	3541324	
"Austria"	624404	604267	550130	650588	764039	565948	554175	621509	640725	752863	
"Poland"	243256	294321	288280	237514	244751	493061	500012	517232	527590	500352	
"Slovakia"	158880	199291	165122	144112	167031	208619	263244	192845	220878	319080	
"Switzerland"	670748	620327	537692	542412	582430	371754	764546	548713	329087	300990	
"China"	86906	90355	101271	92542	108041	138606	151172	194760	228205	285479	
"Czech Republic"	111723	108391	114039	128788	167416	187887	236481	150975	217873	206643	
"Hungary"	145084	160345	140792	178721	268701	370529	353301	248393	195503	176298	
"Bulgaria"	71194	59682	53229	52086	52962	70779	76313	90954	132214	142280	
"Serbia"	4220	3129	4738	15177	22087	27974	34906	54453	109717	137463	
"Italy"	75615	99814	96719	94986	93105	105024	111212	106817	112272	106132	
"France"	97036	104636	66472	95397	69631	76362	76170	72653	106873	100534	
"Spain"	82940	166001	156860	115936	193274	234510	164847	334432	202429	98025	
"Croatia"	1189	1539	11744	5648	5717	34346	22694	21430	16313	61690	
"Türkiye"	4724	41154	11172	15364	11898	13089	20376	24828	28464	55562	
"Romania"	41244	63858	54292	78486	60228	62208	87044	56977	44078	48471	
"Netherlands"	63769	48931	68572	48318	44553	39695	44256	56479	60392	41086	
"United States of America"	60848	17358	54499	13728	10925	15369	18850	17677	21158	24073	
"Slovenia"	9385	9733	11409	9370	13735	17648	21878	24313	29431	23877	
"Ukraine"	3870	11460	5633	6949	8143	9953	16915	25024	21014	22534	
"Belgium"	337724	26843	20912	21374	24210	17200	16744	14796	23102	22057	
"Sweden"	36138	29508	22012	38289	57584	33565	15506	26940	35359	20311	
"United Kingdom"	30329	41287	50636	46141	52364	40268	31532	23087	20416	19765	
"Denmark"	7075	5065	5735	11876	9907	11186	10135	12243	14828	15131	
"Macedonia, North"	253	155	215	35	146	84	89	1416	8521	8262	
"India"	3392	4234	3452	2597	2679	8146	9314	9875	8514	8037	
"Cameroon"	0	0	0	0	0	1	3	0	1868	6142	
"Finland"	1798	2878	1818	3658	5862	8317	5944	7975	7667	5444	
"Luxembourg"	646	7130	6257	2637	3803	2707	3415	2883	2927	5103	
"Russian Federation"	501	582	1237	1175	692	2506	7202	12721	25176	3743	
"South Africa"	13194	6154	4677	6250	6335	5822	4036	5723	5731	3026	
"Portugal"	97	256	408	1840	1361	1040	1101	3456	557	2036	
"United Arab Emirates"	130	101	290	585	1449	840	658	765	1171	1446	
"Sri Lanka"	0	0	0	0	2	192	621	805	700	1297	
"Brazil"	6451	6337	2908	2491	1014	86	245	318	947	1279	
"Taipei, Chinese"	283	621	628	758	253	279	231	177	363	1139	
"Japan"	1326	1675	1374	13828	1606	1861	2433	2698	2587	994	
"Australia"	1650	317	596	74	110	238	485	726	1386	878	
"Canada"	96557	2493	2456	3474	1593	886	1814	1123	1115	851	
"Israel"	644	285	646	229	145	296	328	850	1379	813	
"Norway"	4582	470	13950	6669	3236	591	500	1251	2068	811	
"Bahrain"	4936	5486	4721	4725	3921	6392	7409	6694	4450	801	
"Bosnia and Herzegovina"	8	0	23	14	101	208	227	237	434	772	
"Thailand"	717	281	691	124	126	26	66	17	11	748	
"Viet Nam"	0	0	2	0	0	6	25	0	1677	733	
"Hong Kong, China"	3716	127	676	584	238	579	1517	888	305	610	
"Korea, Republic of"	1090	399	353	507	1199	544	264	292	566	604	
"Area Nes"	0	0	0	0	351	287	442	412	295	594	
"Ireland"	290	454	1112	1359	429	148	351	283	154	531	
"Mexico"	9	12	57	88	86	122	60	255	531	465	
"Argentina"	2	0	329	2	15	20	15	224	440	452	
"Lithuania"	235	601	309	567	446	274	227	76	192	421	
"Colombia"	1	0	0	3	1	4	19	79	51	327	
"Uruguay"	0	0	0	0	0	1	12	10	205	297	
"Singapore"	190	338	105	179	75	251	635	436	213	280	
"Chile"	4	5	9	5	1	122	52	23	137	211	
"Saudi Arabia"	1	0	88	123	6	164	20	158	675	169	
"Malaysia"	70	267	159	136	397	21	109	16	317	142	
"Nepal"	0	1	0	0	0	0	0	0		109	
"Jordan"	0	0	0	0	0	0	23	98	120	96	
"Panama"	582	123	0	2	0	9	0	1	0	91	
"New Zealand"	0	4	3	133	24	9	28	153	88	89	
"Peru"	2	40	0	0	28	4	0	2	15	84	
"Ecuador"	0	0	18	2	5	8	28	0	42	60	
"Greece"	4	19	0	0	0	0	3	110	569	53	
"Kazakhstan"	0	0	0	8	23	0	7	2	78	50	
"Morocco"	185	0	0	0	3	2	3	23	43	49	
"Cyprus"	0	112	332	81	2	31	0	119	45	47	
"Falkland Islands (Malvinas)"	0	0	0	0	0	0	0	0		39	
"Pakistan"	0	35	20	0	0	0	4	0	19	37	
"Costa Rica"	0	0	0	0	0	13	0	17	27	36	
"Latvia"	109	11	0	0	5	0	179	105	229	36	
"Bolivia, Plurinational State of"	0	0	0	0	0	0	0	18	34	34	
"Egypt"	0	42	16	9	1	0	3	20	69	24	
"Barbados"	44	0	63	93	24	10	58	37	9	21	
"Estonia"	3	20	57	95	257	39	331	33	35	18	
"Georgia"	0	0	1	0	0	0	19	61	65	16	
"Nigeria"	4	0	8	0	0	0	2	0	9	15	
"Rwanda"	0	0	0	0	0	0	0	0		14	
"Uzbekistan"	0	0	0	12	60	35	0	2	4	14	
"Kenya"	0	17	0	0	0	0	0	2	9	12	
"Qatar"	0	0	163	20	1688	21	1794	14	1	12	
"Suriname"	0	0	0	0	0	0	0	0		10	
"Venezuela, Bolivarian Republic of"	0	0	0	0	0	0	0	8	9	10	
"Djibouti"	0	0	0	0	0	0	0	0		9	
"Indonesia"	0	37	0	14	0	57	2	28	14	8	
"Bermuda"	0	0	0	11	20	2	60	0		7	
"Belarus"	9	4	0	6	2	25	8	17	27	7	
"Iraq"	0	0	65	0	0	0	0	0	77	7	
"Paraguay"	0	0	0	0	0	0	0	7	8	7	
"Sao Tome and Principe"	0	0	0	0	0	0	0	0		7	
"Kuwait"	0	33	1	15	0	0	1	2		6	
"Bangladesh"	0	0	0	2	3	0	9	0		5	
"Azerbaijan"	0	0	0	1	0	0	164	7	4	4	
"Dominican Republic"	0	0	0	0	0	8	0	0	1	4	
"Armenia"	0	0	0	0	0	0	0	2	23	3	
"Côte d'Ivoire"	0	0	0	0	0	0	0	0	0	3	
"Moldova, Republic of"	117	39	0	0	0	4	3	15		3	
"Uganda"	0	0	0	0	0	0	1	0		3	
"Guatemala"	0	0	0	0	0	0	0	0		2	
"Mali"	0	0	0	0	0	0	2	0	0	2	
"Tunisia"	0	0	1	0	13	0	0	0	6	2	
"Turkmenistan"	0	0	0	0	5	0	0	0		1	
"Albania"	0	0	2	5	0	0	10	12	1	1	
"Guinea"	0	0	0	0	0	0	0	0		1	
"Oman"	0	0	0	0	0	0	0	0	1	1	
"Tanzania, United Republic of"	0	0	0	0	0	0	0	0	19	1	
"Algeria"	0	0	0	0	2	0	0	1	13	0	
"Ghana"	0	0	0	0	0	0	0	0	3	0	
"Lebanon"	0	44	0	0	0	0	0	207	71	0	
"Senegal"	0	0	0	0	0	0	0	0		0	
"French Southern and Antarctic Territories"	0	0	52	0	0	0	0	0			
"Tokelau"	0	0	0	0	0	0	0	16			
"Afghanistan"	0	0	34	3	0	0	0	0			
"Antigua and Barbuda"	0	0	0	0	0	0	0	0	2		
"Bhutan"	0	0	5	0	0	6	0	0			
"Brunei Darussalam"	0	0	0	86	0	0	0	0			
"Myanmar"	0	0	0	0	0	0	0	0	9		
"Cabo Verde"	0	0	0	0	0	0	0	0	18		
"Cayman Islands"	0	0	0	0	0	0	4	0			
"Congo"	0	0	0	0	0	0	0	0	4		
"Ethiopia"	0	0	98	0	0	0	0	0			
"Eritrea"	0	0	0	0	0	0	0	0	44		
"Gabon"	0	0	0	9	0	0	0	6			
"Guyana"	0	0	0	0	0	132	23	0			
"Iceland"	31	0	6	82	20	2	2	3			
"Iran, Islamic Republic of"	0	0	0	12	3	34	34	57	53		
"Liberia"	22	2	0	2	0	0	0	0			
"Libya, State of"	0	0	0	0	0	15	0	0			
"Macao, China"	0	0	0	0	0	4	0	0			
"Maldives"	0	0	0	1	0	0	0	0			
"Malta"	41	8	0	3	0	0	0	0			
"Mauritius"	0	0	3	0	0	0	0	4			
"Namibia"	2	0	0	0	0	0	0	3			
"Curaçao"	0	0	0	2	0	0	0	0			
"Nicaragua"	0	0	0	0	0	0	0	205			
"Niger"	0	0	0	0	0	0	0	27			
"Philippines"	2378	168	4	3	2	0	10	12			
"Sierra Leone"	0	0	0	0	0	94	2	0			
"Trinidad and Tobago"	0	0	0	0	0	0	0	0	3		
"Burkina Faso"	0	0	0	0	0	0	0	0	116		
"Zambia"	0	0	0	0	0	0	0	0	1		
