Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Germany's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Germany (%)	
"World"	10613280	18429235	100	-11	-14		100	-9				
"United States of America"	2848382	-540065	26.8	6	-15	5	6.2	0	10153	0.05	1.4	
"United Kingdom"	2618232	-1712933	24.7	-1	-8	3	9.1	-10	3202	0.12	0	
"France"	1827969	1813904	17.2	-30	-23	1	22.5	-14	5153	0.06	0	
"Spain"	407900	-110188	3.8	-27	-33	6	3.7	-6	2323	0.15	0	
"Netherlands"	317865	399490	3	-13	784	15	1.3	-3	5509	0.17	0	
"Canada"	269865	88757	2.5	-7	32	4	6.9	-2	4223	0.32	0	
"Ireland"	269505	-78146	2.5	220	384	11	1.5	-20	6655	0.19	0	
"Türkiye"	224567	2271848	2.1	-6	11	16	1.2	15	4435	0.06	0	
"Switzerland"	191042	73156	1.8	18	-68	14	1.3	-1	4219	0.2	0	
"China"	166821	3039310	1.6	14	51	8	3.4	-1	7203	0.09	1.4	
"Austria"	149225	-6578	1.4	-8	-69	21	0.9	-6	3335	0.12	0	
"Hungary"	140214	1850561	1.3	33	44	43	0.10	-16	1055	0.74	0	
"Belgium"	140089	-120364	1.3	-26	-12	24	0.5	-12	3686	0.2	0	
"Italy"	103073	181664	1	3	-42	25	0.4	-33	4358	0.14	0	
"United Arab Emirates"	99764	393383	0.9	-22	4	36	0.2	-12	5503	0.13	1.4	
"Romania"	97002	-14988	0.9	-12	4	29	0.3	4	2094	0.23	0	
"Czech Republic"	94775	111406	0.9	-11	46	28	0.4	-4	2268	0.12	0	
"Brazil"	80029	157055	0.8	-10	37	9	2.1	-9	8122	0.52	1.4	
"Japan"	79621	365873	0.8	5	-33	17	1.1	-25	9485	0.53	1.4	
"Sweden"	71046	272210	0.7	19	-2	33	0.3	-5	5047	0.22	0	
"Korea, Republic of"	65597	384606	0.6	-13	17	12	1.5	-11	7449	0.15	0	
"Mexico"	60234	1488333	0.6	-20	3	66	0.02	-49	3005	0.64	0	
"India"	42021	2044258	0.4	-8	6	26	0.4	-3	9039	0.2	1.4	
"Denmark"	37665	153556	0.4	40	73	35	0.2	1	5281	0.18	0	
"Taipei, Chinese"	37523	1115829	0.4	-7	14	32	0.3	-12	9322	0.2	1.4	
"Poland"	29630	89948	0.3	12	28	30	0.3	-19	5131	0.12	0	
"Thailand"	18154	12047	0.2	49	124	13	1.4	22	4047	0.13	1.4	
"Luxembourg"	15094	-12527	0.1	-18	-10	42	0.10	10	4292	0.11	0	
"Viet Nam"	13693	154999	0.1	53	551	20	0.9	29	4888	0.32	0	
"Saudi Arabia"	11512	41548	0.1	89	37035	57	0.03	2	4926	0.17	1.4	
"South Africa"	10271	6546	0.1	-17	3	39	0.2	-5	9415	0.18	0	
