Exporters	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	16977332	16345046	16436486	17695781	21990600	21689117	18465618	18911013	21633822	24411528	29585078	34469899	35344231	31042720	30918270	31919729	35446639	28376752	25494149	27148868	
"Canada"	6196045	5358673	5897022	5100171	6438815	5763057	5108108	4562316	5324744	5863088	6664512	7971055	8428246	6112285	5333925	5504713	6701056	6090678	5615253	6364352	
"France"	4255718	3505928	2440191	4338415	5628572	4909984	3915952	5006425	4857392	4929872	6061732	5980352	5997484	5643843	6581893	6312876	7466902	7720986	7427940	5910634	
"Germany"	1100960	1220984	1839540	1364027	1028804	1238101	1799445	888038	1570522	1523671	2909949	3986073	4490115	2953145	3302793	2567067	2515577	1835121	1774497	2439803	
"United Kingdom"	946913	879162	1001808	1230773	1587059	1776276	1407856	1487075	1496004	1612466	1303763	1479487	1333858	1318597	1487458	1875652	2508456	1980704	2114127	2257255	
"Brazil"	1863674	2493800	1807064	1203118	1713393	2280079	723400	730087	896182	987204	1746045	2328338	3041777	3307887	2655018	2203743	2661421	1819799	1534255	1939391	
"Japan"	865899	887559	1080563	1480213	1893971	1699208	2042219	2127051	2617062	3298923	3879271	4909564	4782393	4507407	4016369	4201233	4078530	2711717	1361626	1162940	
"Mexico"	66606	32051	38254	51458	112217	204243	216186	284405	456096	788780	846108	1172172	1147131	1103864	1136404	1230774	1455327	907903	855052	1048827	
"Italy"	282814	304970	423456	430216	561451	618494	587499	846446	902507	1226179	1360991	1430257	1013996	1181511	1169400	2167536	1919137	1185613	801125	769691	
"Switzerland"	141393	165681	167380	201137	179509	296217	249465	255972	240913	272798	299964	311685	345811	308931	301336	397794	483338	449967	533071	619166	
"China"	63961	80836	85642	135761	195934	196150	224218	283146	390693	414507	468516	513063	497445	476652	517691	555954	566087	258947	216132	556878	
"Korea, Republic of"	87081	114398	187480	228488	263381	224448	277712	344996	371044	423969	496162	601809	671091	593890	646001	731143	814805	361705	328630	455847	
"Israel"	392311	406482	527775	706111	904632	981389	461073	427055	398068	590326	646181	800143	711007	564217	694463	799573	608491	325020	408781	438465	
"Netherlands"	108610	122550	155884	143120	146316	166765	173434	269636	276074	329054	307246	372882	314618	304118	283289	312578	425296	383847	337701	395863	
"Malaysia"	12784	16417	21216	27849	37417	29171	37615	42490	55345	68648	91392	101861	119954	119083	125487	131439	148576	87431	82610	302274	
"Australia"	113802	103491	129099	136352	188652	173270	160217	159727	326385	352202	456272	512827	464804	446931	457260	452175	500777	379885	299133	272123	
"Poland"	8800	22340	16211	19008	28605	38406	61877	97517	134917	194841	287188	203503	191889	207720	206343	233336	213944	200061	179324	241214	
"India"	3403	5092	7611	10908	15019	31687	29275	28036	50409	70569	74871	146442	153847	166419	156458	179810	189857	188922	195909	227533	
"Türkiye"	15887	28776	49211	68376	83060	93324	125682	146908	154591	170241	168774	250936	256661	276512	291043	342694	401690	289127	271049	221225	
"Spain"	40841	93219	48824	119641	157240	122311	137757	136048	128239	156751	194015	169666	140657	137503	156347	210738	246776	129407	128513	195087	
"Austria"	36213	84564	115861	119757	128770	116274	108860	113684	133757	175182	202502	242913	238847	247498	240859	246353	264644	137989	143618	173749	
"Norway"	1907	1284	2413	1617	2130	1234	4955	11182	35237	44307	37841	37526	59627	66243	63282	129703	126370	110594	111531	128029	
"Singapore"	64580	74748	81183	82370	90544	107628	85292	104608	107527	95790	211056	88209	99675	84502	104901	117856	109597	87897	93881	106902	
"Viet Nam"	70	200	308	787	921	1081	583	1041	25023	53553	68967	82085	79036	74508	139983	136972	126416	65410	43604	96388	
"Taipei, Chinese"	37531	55970	52678	44653	73715	73265	56946	61691	75888	121924	118962	115346	103815	81643	77582	88105	100609	70177	76248	95884	
"Denmark"	6975	11647	14060	41738	13998	13639	18592	27852	50368	50835	43420	34350	52938	65878	59891	69868	91851	99098	100713	93745	
"Philippines"	11657	13995	16168	15848	8476	8066	4368	6878	15267	5665	14052	17925	23583	67950	100390	136407	110807	21069	42255	86015	
"Sweden"	9243	15747	22371	25097	28390	32050	39052	67422	38968	72225	90437	141176	129291	174247	176360	123374	126592	83369	109289	63301	
"Thailand"	1118	1675	1008	1330	2099	3957	1815	2263	7372	4780	9720	7267	7803	13319	13164	19349	19154	15604	17116	49783	
"Romania"	1219	4138	931	1562	2869	1996	1696	800	979	4151	6747	7035	7056	8481	8702	16107	29328	16373	20666	46081	
"Czech Republic"	60703	74235	73765	125631	163748	187167	110905	71123	70409	81205	119051	109288	64168	71732	69833	64798	40602	25499	25086	40578	
"Morocco"	7	6	18	0	20	108	17	54	19	37	46	48	92	1539	4754	7001	34579	25386	31905	39395	
"El Salvador"	0	0	0	0	18	4	29	820	814	589	313	102	97	71	268	141	1054	4879	1730	34484	
"United Arab Emirates"	347	321	337	952	653	537	1100	394	1848	903	854	4498	11213	46568	19051	12605	15330	15092	13457	30642	
"Russian Federation"	72537	25997	14276	54052	85445	75601	97033	96212	100034	116599	174702	175140	194356	186607	190015	222821	189014	141278	67292	28713	
"Belgium"	35536	43525	51927	57422	79652	99981	128972	123499	204353	122057	126441	69783	54443	39751	35614	34660	33571	25874	23365	27206	
"Luxembourg"	49	60	157	174	2043	3241	1463	918	1866	3378	8655	3426	12169	3046	1842	4781	1443	4241	12331	21958	
"Greece"	12034	9275	14906	19018	17356	21389	20552	32890	36331	38355	38153	25999	24721	23745	22222	19058	21688	15191	15959	21466	
"Portugal"	528	6158	12436	5021	4607	4632	5307	8046	8420	9008	7510	4963	6492	8986	14598	6122	5759	8459	5524	19491	
"South Africa"	3574	4739	3819	2669	5069	4625	4192	3795	4700	5711	8107	10747	11936	8902	9423	10176	12285	25364	10743	18761	
"Hong Kong, China"	5328	3379	2818	2913	2378	1997	1582	1793	2304	3125	3187	8750	14004	9715	10477	7461	4394	3473	5486	14351	
"Ireland"	7886	17156	12621	10547	14646	9594	4640	3237	2713	3224	5875	15186	29105	9240	9538	6670	32579	32761	10597	13696	
"Yemen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13002	
"Indonesia"	1866	2119	1697	4398	9060	12619	8253	6509	1717	1307	1779	2247	3534	1603	1359	2357	4272	2768	6455	12711	
"New Zealand"	720	3687	2209	960	3637	4652	4187	8152	4191	3095	4446	3326	2271	4274	4548	4983	8536	10700	6447	10969	
"Slovenia"	171	355	582	2826	754	668	736	252	739	347	2144	273	1177	844	1894	316	2725	776	1229	6818	
"Saudi Arabia"	313	582	1739	1201	480	421	255	5252	250	933	292	231	607	722	3629	908	1215	559	8351	5445	
"Sri Lanka"	176	101	52	90	86	80	30	24	41	56	282	36	104	199	291	504	982	1435	3671	4391	
"Colombia"	1138	112	543	711	1215	687	2586	1264	1598	904	276	679	265	362	345	855	1068	404	945	4356	
"Chile"	115	392	186	1210	3522	5580	936	1838	1356	620	1020	1580	296	799	1822	6893	1558	2281	4108	3850	
"Hungary"	202	45	91	283	233	403	372	41	188	131	565	228	464	133	570	663	1096	546	963	3513	
"Tunisia"	0	0	0	0	0	58	41	904	443	296	1491	1384	911	386	2476	2995	3001	1295	2583	2682	
"Latvia"	8	0	0	0	0	0	0	0	0	0	84	79	19	0	152	507	2892	797	593	1594	
"Argentina"	80	226	1002	378	506	173	304	140	32	426	787	1192	268	892	1324	564	1791	486	955	1490	
"Kuwait"	35	65	230	5	62	4	14	4	0	0	0	44	11	0	0	0	425	0		1273	
"Ukraine"	31899	40415	1939	69170	70320	42974	3091	15346	37551	105938	1548	3138	1434	1077	1501	616	1550	2725	1478	929	
"Lithuania"	260	284	349	452	175	266	201	196	375	300	919	191	491	310	316	362	1519	1259	73	809	
"Curaçao"	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0		717	
"Peru"	7	5	524	205	114	272	372	720	702	831	439	645	508	121	140	649	189	44	591	698	
"Finland"	963	1539	717	154	789	420	1332	162	2265	1639	1415	732	704	3566	3302	315	219	1797	927	688	
"Slovakia"	217	71	70	401	1139	1011	925	286	410	569	867	5176	194	303	672	531	393	813	644	545	
