Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	2435176	2284270	2174347	2024716	2144725	2275203	2242177	1909128	2215265	2295392	
"United States of America"	541416	509165	491852	463169	458900	490095	483816	388508	483901	523040	
"China"	240987	259025	255030	238848	286172	298341	309497	361244	380384	393680	
"Germany"	355212	329599	303647	289661	296797	320258	318165	233070	282111	271616	
"United Kingdom"	146772	138888	127035	98751	102839	110349	107127	82308	90818	85389	
"Japan"	118011	103164	97495	85434	86375	91644	97626	70408	84049	82628	
"Switzerland"	104106	97964	100351	93173	106001	86258	84618	71199	73607	77450	
"Italy"	85090	74250	69311	69822	72736	72760	68705	50915	68312	75623	
"Mexico"	49860	51128	55745	49680	53476	66529	61969	50165	53689	64837	
"France"	93760	95643	75868	69552	84715	74061	64579	56427	61571	64767	
"Ireland"	37819	40755	43039	37528	38894	50293	44659	34372	43723	53788	
"India"	23725	28098	29451	29707	32344	38761	34063	30199	41530	45974	
"Netherlands"	51786	47622	43933	41593	46652	47775	42469	32600	32278	37703	
"Australia"	27038	26737	22047	25070	26621	20846	20815	18499	26788	33868	
"Thailand"	27005	25882	21620	16520	20022	23448	21413	21774	29238	31216	
"Singapore"	22573	23537	21009	21443	26625	31517	28901	30023	33232	30598	
"Malaysia"	21353	21517	21754	22198	23000	42914	41459	26022	26690	26475	
"Denmark"	27916	24624	17267	17660	20332	24980	23074	23972	26720	25946	
"Taipei, Chinese"	31221	32649	27883	25977	26049	25720	20110	18662	21547	23527	
"Korea, Republic of"	20022	20683	17268	17970	18394	17179	18451	16475	22021	23283	
"Canada"	36315	25249	22120	20431	18373	18279	20777	17379	25248	22536	
"Costa Rica"	6327	6125	7554	8734	10365	13221	16662	13735	18355	21551	
"Finland"	12599	15668	12963	11265	14303	16064	19138	17309	29437	20472	
"Austria"	19113	16081	15486	15146	19803	16912	16122	14352	19797	19971	
"Sweden"	28239	25889	23211	25916	19831	26528	22965	18417	17299	17605	
"Czech Republic"	15969	14691	15080	12810	15348	13855	16000	17425	17592	16000	
"Belgium"	61331	24874	21885	22291	25417	20450	18249	14230	11357	14575	
"Israel"	14740	17289	14933	11685	12736	11301	12332	9543	9735	13841	
"Poland"	13008	14339	15362	13492	14913	16641	18296	15031	15726	12868	
"Hungary"	10984	10727	9327	11065	10521	10999	10205	13069	14534	12521	
"Spain"	55395	16726	11225	14530	10966	11856	9385	7480	14689	11522	
"Romania"	2140	3797	24063	29616	30959	37232	32224	30464	22712	9902	
"New Zealand"	6599	5780	5445	6329	6162	7588	10379	13124	11344	9713	
"Türkiye"	4264	4890	5938	5528	4302	8576	7953	5936	9140	9461	
"Viet Nam"	4065	4878	6058	5816	5698	6827	6680	5564	7235	8989	
"South Africa"	21620	21170	25902	25626	15354	17203	22951	8201	10156	8679	
"Area Nes"	1791	2575	4984	3573	3511	3988	6698	6581	5088	8418	
"Brazil"	10677	12427	11444	5966	6934	5654	7145	6741	5723	8315	
"Russian Federation"	7292	2046	2362	1210	3517	1953	939	1706	2101	7114	
"Philippines"	6777	6836	6954	6399	6245	7667	8535	4812	7093	6933	
"Hong Kong, China"	7338	11184	5449	5321	6074	5148	4502	8900	3463	5232	
"Estonia"	1415	1600	1797	1081	2527	2656	3178	3846	4352	4975	
"Dominican Republic"	4481	6694	5489	5067	4613	2664	3747	3210	3400	4434	
"Lithuania"	2172	1640	2122	2280	2501	2673	3005	2628	3709	4298	
"United Arab Emirates"	3298	6560	11708	2692	4543	5980	5852	2862	3436	4288	
"Norway"	4427	3600	6105	3254	2035	2341	3312	2183	3184	4190	
"Bulgaria"	1236	1573	1189	1087	1194	872	1525	1402	3152	3438	
"Pakistan"	6005	5444	4990	5489	5300	6267	4503	2685	2347	2732	
"Serbia"	1147	1026	173	193	1107	1716	1862	2301	1849	2202	
"Indonesia"	3058	4084	2753	1796	2264	1656	2434	2106	2114	2145	
"Iceland"	740	839	596	707	1017	1006	692	880	616	2043	
"Slovakia"	3273	3400	1629	1672	3112	5926	4223	3093	2973	1974	
"Namibia"	2066	1937	2105	2406	2068	2041	2001	1472	2560	1692	
"Argentina"	508	662	383	213	436	803	681	412	936	1644	
"Slovenia"	864	1104	1758	1444	1233	1719	1248	1047	1519	1536	
"Greece"	462	524	679	1723	1967	2448	3383	2044	2446	1416	
"Portugal"	662	7771	3205	2180	2143	1912	1287	882	1667	1325	
"Botswana"	729	595	869	878	719	946	685	509	798	1261	
"Bosnia and Herzegovina"	1	0	1	1120	391	1089	1579	468	672	979	
"Luxembourg"	730	313	547	316	861	397	305	390	596	899	
"Ukraine"	3003	4046	263	1199	2228	307	201	132	1316	798	
"Latvia"	16	82	43	70	57	201	195	273	388	681	
"Tunisia"	348	208	239	516	475	398	381	421	527	646	
"Mauritius"	1049	779	810	571	675	3536	5926	380	423	551	
"Morocco"	78	180	71	29	13	26	57	16	25	489	
"Zambia"	1206	979	397	784	407	822	643	255	347	477	
"Belarus"	273	401	372	385	626	509	464	359	577	411	
"Uganda"	69	276	133	105	256	66	190	162	45	389	
"Kenya"	414	847	1703	469	550	151	194	301	2891	364	
"Macedonia, North"	13	1	4	1	36	372	420	287	215	323	
"Egypt"	706	234	536	500	345	568	451	324	213	278	
"Croatia"	90	136	71	148	192	223	150	148	221	272	
"Malta"	3437	1956	5336	1230	768	290	357	239	195	242	
"Georgia"	8	4	0	20	27	173	300	239	384	238	
"Sri Lanka"	365	258	232	221	235	330	210	183	213	226	
"Myanmar"	0	1	0	127	73	45	85	51	92	221	
"Congo, Democratic Republic of the"	585	427	348	144	369	208	113	91	193	212	
"Uruguay"	31	78	90	89	65	139	83	84	125	190	
"Colombia"	157	1896	135	246	120	86	237	308	188	187	
"Iran, Islamic Republic of"	236	45	84	291	58	155	175	387	39	183	
"Malawi"	31	29	130	36	64	290	71	49	156	167	
"Eswatini"	113	56	207	57	26	120	287	182	206	167	
"Mozambique"	2873	1148	1294	193	388	423	376	242	250	131	
"Senegal"	54	4	4	7	21	21	48	11	24	131	
"Saudi Arabia"	118	122	81	10	59	1165	71	21	66	129	
"Zimbabwe"	202	439	160	332	335	301	214	148	389	125	
"Guinea"	46	59	43	17	73	6	43	20	11	112	
"Nigeria"	286	570	179	230	460	175	120	139	152	111	
"Ghana"	300	869	274	214	171	327	123	88	194	103	
"Tanzania, United Republic of"	304	941	243	404	599	640	273	215	227	101	
"Gibraltar"	1	0	0	0	0	0	0	0		94	
"Bangladesh"	17	127	242	265	324	131	97	45	189	81	
"Côte d'Ivoire"	63	125	5	25	84	8	24	55	23	81	
"Sierra Leone"	53	23	14	4	24	5	65	48	27	77	
"Burkina Faso"	65	11	1	25	153	60	89	53	45	74	
