Exporters	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"World"	6877255	6762689	7050922	7192546	7237095	8436896	9491645	9506534	8218100	11319863	
"China"	1096210	1046610	1189551	1252940	1312391	1596695	1614916	1460614	1577667	2430639	
"United States of America"	1377573	1408327	1429544	1449811	1439651	1585658	1586545	1502950	1208296	1650528	
"Germany"	968131	1000661	996759	963787	1009854	1137141	1321639	1240335	1023212	1286266	
"Singapore"	354234	291565	320946	335245	345445	424079	730894	898537	732421	974550	
"Japan"	606365	567202	531522	557216	638260	662196	758660	717785	558129	707487	
"Korea, Republic of"	271619	287417	309363	350478	298984	351668	424001	452814	325367	444562	
"Hong Kong, China"	74308	55085	49387	55861	59921	61204	200975	230026	304140	383309	
"Netherlands"	88192	99113	105672	112729	105906	130055	329022	377550	241414	346601	
"United Kingdom"	274932	264171	274093	268850	264454	300863	310561	319522	277019	330403	
"France"	205668	196340	204930	192801	187827	178948	253416	284626	279647	293098	
"Switzerland"	202187	218287	194007	198704	191987	228390	279566	293852	211098	279568	
"Belgium"	69789	31253	46231	58060	58669	99144	146864	224452	170132	268056	
"Malaysia"	80898	111176	135815	151567	102485	130753	148566	148197	132303	217879	
"Italy"	137242	128268	142185	126902	130693	148066	181882	182976	132569	176563	
"Thailand"	82901	85234	102600	94004	81867	83366	87497	90327	77131	115300	
"Viet Nam"	15598	13198	18064	22070	62120	204649	80062	110690	67453	104451	
"Australia"	35531	36166	42279	31368	45522	41589	54619	56204	49413	97031	
"Ireland"	152311	192977	186796	177318	194911	194395	81587	60036	37961	92775	
"Canada"	45953	58164	56186	50188	39924	51809	58692	53127	49148	90139	
"Austria"	70844	69317	73984	79040	66062	84721	104616	93216	66270	89270	
"Taipei, Chinese"	60167	70783	69225	44489	50960	64777	62481	65727	66631	84421	
"Sweden"	89370	57741	61942	59235	57995	61035	53184	51203	42739	76274	
"Israel"	99263	109042	88950	110843	66888	86063	80900	73688	50689	71972	
"Denmark"	41403	39191	46680	44214	43452	59282	64781	66324	59670	62842	
"United Arab Emirates"	20526	16393	23479	19958	30983	27034	48022	47745	58705	61507	
"Russian Federation"	9477	8757	5741	25276	8433	28778	26825	18154	22572	60079	
"Norway"	16055	15760	20456	13641	7995	32286	20881	23830	11892	58963	
"Indonesia"	25074	9554	14000	20104	21408	35327	31003	58322	24702	42630	
"Spain"	47299	34021	36695	36964	30592	39939	37984	32429	35217	41037	
"Philippines"	15397	15937	20308	20894	23997	25532	23419	22027	21700	32464	
"Türkiye"	7445	5723	4475	7775	7580	7640	8012	15958	11003	32021	
"Hungary"	18365	25964	21908	21020	22141	21969	19873	17087	17553	31342	
"Bulgaria"	8432	11799	21426	16460	13163	20914	16146	14196	19706	27501	
"Czech Republic"	24680	21248	17784	17653	20559	19870	23695	27100	22568	27108	
"New Zealand"	3900	4093	5941	8524	6515	7152	8845	11846	25683	25151	
"Poland"	13424	14183	12510	15519	17301	15144	13274	13926	13431	22217	
"Finland"	24622	22312	19828	15967	18774	20120	24070	21052	25654	20990	
"Romania"	5263	6699	4742	6513	6375	6705	5713	6640	16333	20117	
"Mauritius"	5673	6163	6328	5990	7538	6564	10196	10715	15209	16839	
"Mexico"	44567	42851	58516	64335	56696	52379	32892	19698	19283	13786	
"Argentina"	2409	3409	3711	2884	1995	4235	6351	6232	4455	10804	
"Brazil"	13556	15081	16414	13527	17045	18626	18619	16878	8960	9370	
"South Africa"	2000	1560	5270	1266	2201	1164	2948	2782	11037	7911	
"Slovenia"	3008	2134	3344	1839	4011	2590	15687	5706	11788	7848	
"Greece"	458	472	650	830	1355	1188	3316	1953	808	6135	
"Slovakia"	3187	1125	1355	2577	2384	2136	3527	6734	3640	6124	
"Portugal"	2968	387	1502	1076	1023	2901	1077	1969	1984	5419	
"Saudi Arabia"	1196	104	100	85	153	367	13201	2115	7767	5051	
"Sri Lanka"	2377	2255	1541	17404	996	1237	5723	4943	5624	4969	
"Uzbekistan"	27	0	0	0	0	3	0	10	212	3894	
"Tunisia"	5	50	55	103	43	14	61	1200	2620	3891	
"Lithuania"	1676	2510	4577	3278	2389	1108	2302	3703	2834	3114	
"Qatar"	943	569	62	35	507	94	1898	546	1208	3026	
"Luxembourg"	2091	873	731	702	603	1135	989	816	1255	2925	
"Estonia"	5454	8644	1563	2623	2005	2143	3684	2714	2325	2773	
"Oman"	1045	91	4	99	179	637	863	451	13859	2607	
"Dominican Republic"	4291	5683	9950	7664	7802	7294	4791	2725	2574	2397	
"Ukraine"	1744	1282	3573	2535	1063	1069	1807	2424	10247	2262	
"Bahrain"	705	260	63	107	61	14	196	423	387	1879	
"Mozambique"	4	0	12	0	48	0	0	16	0	1721	
"Egypt"	693	373	3143	4576	5323	194	2172	4434	4028	1629	
"Costa Rica"	660	1025	2143	4958	7202	7213	826	1269	238	1503	
"Libya, State of"	0	0	0	1	0	0	0	18	0	1427	
"Kuwait"	517	51	10	9	16	147	1626	1653	989	1391	
"Belarus"	654	913	1678	519	1052	2225	689	772	1723	1295	
"Latvia"	1089	343	839	983	1005	1198	2276	1403	1306	1223	
"Malta"	436	391	497	592	361	320	364	147	798	736	
"Bangladesh"	488	33	50	1716	823	2516	1401	2400	675	703	
"Curaçao"	11006	514	522	941	1256	1192	1943	4065	255	632	
"Croatia"	280	35	397	87	192	149	396	229	555	585	
"Lebanon"	65	0	14	4	105	41	25	70	43	444	
"Colombia"	82	38	26	202	179	62	26	208	429	428	
"Maldives"	169	146	8	1	1	68	211	112	997	372	
"Eswatini"	1694	1028	2337	929	1245	2175	1111	638	401	359	
"Area Nes"	6164	3518	2444	4981	2576	20319	4764	820	109	308	
"Georgia"	47	188	189	157	33	13	107	133	152	308	
"Iceland"	51	62	150	27	327	520	122	29	19	304	
"Nepal"	937	80	286	77	261	46	962	604	172	302	
"Kazakhstan"	0	0	100	126	8	25	41	0	11	263	
"Macao, China"	23	0	9	0	3	21	19	0	9	263	
"Morocco"	140	282	9	35	9	67	133	103	77	244	
"Senegal"	134	154	49	59	0	2	209	10	50	228	
