Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Germany's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Germany (%)	
"World"	23036517	-5136130	100	4	-5		100	7				
"China"	6735938	-6390027	29.2	12	-3	1	41.3	10	7741	0.09	1.5	
"Poland"	4533597	-3553029	19.7	1	-9	6	3.8	-2	1324	0.15	0	
"Czech Republic"	2134831	-1534844	9.3	-1	1	10	1.8	1	1033	0.25	0	
"Italy"	1176913	-537738	5.1	1	-10	4	5.4	5	3373	0.06	0	
"Türkiye"	666146	-555074	2.9	13	28	11	1.7	13	2679	0.04	0	
"Hungary"	640257	-335184	2.8	-1	3	26	0.6	2	1380	0.19	0	
"Austria"	571992	1207556	2.5	1	-14	23	0.9	1	1118	0.18	0	
"Romania"	557582	-423640	2.4	3	-6	20	1	0	1734	0.08	0	
"Netherlands"	485104	1129802	2.1	0	-15	9	1.9	7	1354	0.12	0	
"France"	406084	1910863	1.8	-2	-14	12	1.4	1	2580	0.06	0	
"Viet Nam"	404454	-380994	1.8	17	11	2	6.6	22	12127	0.57	0.1	
"Slovakia"	400798	-206375	1.7	7	-10	28	0.5	-3	1154	0.11	0	
"Lithuania"	364605	-310322	1.6	13	3	17	1.1	10	1876	0.07	0	
"Switzerland"	329807	1687407	1.4	0	-6	39	0.2	-1	1916	0.25	0	
"Denmark"	280993	-52673	1.2	3	-22	14	1.2	6	1890	0.08	0	
"India"	265028	-172151	1.2	15	-10	16	1.1	15	10415	0.28	0.1	
"Spain"	218009	384850	0.9	-3	-24	13	1.3	3	2601	0.1	0	
"Sweden"	204728	123095	0.9	-1	-3	22	0.9	2	1384	0.14	0	
"United Kingdom"	189458	869152	0.8	-2	-11	18	1.1	-5	3584	0.08	0	
"United States of America"	186410	716114	0.8	-2	-2	7	3.2	-2	3450	0.31	1.5	
"Bosnia and Herzegovina"	167749	-160589	0.7	7	2	38	0.2	5	1142	0.12	0	
"Belgium"	156773	671576	0.7	8	-25	19	1	7	1046	0.18	0	
"Ukraine"	153382	-124707	0.7	12	-15	37	0.3	10	1464	0.16	0	
"Indonesia"	138610	-123875	0.6	16	0	21	0.9	15	12595	0.36	0.1	
"Slovenia"	135907	-18105	0.6	-5	-9	33	0.3	-2	1044	0.1	0	
"Estonia"	131664	-106144	0.6	4	-27	30	0.4	3	1338	0.12	0	
"Taipei, Chinese"	130460	-97334	0.6	1	-3	24	0.7	5	9409	0.34	1.5	
"Norway"	124068	56071	0.5	11	-9	42	0.2	6	2763	0.11	0	
"Serbia"	119659	-84154	0.5	21	54	36	0.3	9	1008	0.06	0	
"Croatia"	102721	-22370	0.4	1	4	40	0.2	9	860	0.11	0	
"Macedonia, North"	99336	-90105	0.4	-7	12	47	0.1	4	1206	0.12	0	
"Portugal"	92335	3356	0.4	-10	-14	25	0.7	-1	2131	0.19	0	
"Belarus"	76782	-73361	0.3	15	-46	51	0.09	11	1367	0.14	1.5	
"Finland"	62563	149003	0.3	7	-6	41	0.2	6	2464	0.06	0	
"Moldova, Republic of"	62444	-59860	0.3	-9	-9	60	0.05	0	1133	0.23	0	
"Bulgaria"	55200	-18776	0.2	-7	-6	32	0.3	8	1674	0.06	0	
"Israel"	53336	-4941	0.2	9	0	46	0.1	13	6141	0.1	0	
"Malaysia"	50157	-11309	0.2	1	20	15	1.2	7	10189	0.27	1.5	
"Hong Kong, China"	32899	2831	0.1	5	-40	44	0.2	-11	6769	0.1	1.5	
"Japan"	32459	101520	0.1	0	3	35	0.3	-6	6493	0.11	1.5	
"Tunisia"	31388	-27276	0.1	64	85	56	0.07	1	1466	0.22	0	
"Latvia"	29266	-7871	0.1	2	-21	43	0.2	9	1311	0.09	0	
"Philippines"	28197	-16870	0.1	6	6	45	0.2	4	10448	0.41	0	
